,name,pow_received_kinetic,pow_received_magnetic,pow_received_spi,freq_max_planet,freq_max_star
260,GJ 9404 b,0.06255607311157525,7.1261915014886214e+75,4.5315577594172567e+39,2.9060511979679475,4.569968750108822e+37
1411,PPL 15 b,0.0008061043542146377,8613577963.526709,758600288.3727652,159.9772173768673,18164.720675489494
1854,YZ Cet b,0.18255002097925033,7057625912.129219,95988743.97116913,6.069413143202823,4462.569849205639
1831,WD 0137-349 b,0.40262345059120525,6880908088.321722,120009533807.28223,869.3350494157261,498.4449470982993
140,GJ 1214 b,0.15178234972516663,3689267794.1837177,367862916.07466066,9.14211351279859,916.855259927704
1855,YZ Cet c,0.21077528484138652,3197725781.0987525,36085561.51607483,5.035902070313193,4462.569849205639
135,GJ 1061 b,0.07120622761278683,1416206326.944183,127371297.80019902,7.727572396713993,859.2074595418374
1856,YZ Cet d,0.18874464604348223,1367167799.5484557,12236586.495516356,3.994141901976004,4462.569849205639
1639,TRAPPIST-1 b,0.007100529125776831,1099755838.2869778,52123679.62694882,5.768360403321838,1217.0645043288107
1650,TVLM 513-46546 b,1.2620265577952137,765471939.8954751,3601.5279138864125,0.003951119791925964,8397.745079868793
1456,Teegarden's b,0.021537680077476112,570382768.8690572,10166251.89795098,3.2974903038538153,1850.0738214150408
1415,Proxima Centauri d,0.45188119486050493,559829825.0694308,9061012.936850477,1.9698552533061595,1217.0645043288107
1337,LHS 3154 b,0.061565201344684566,268460841.623084,7809708.1969780335,4.240413554951207,1457.6536831845176
1640,TRAPPIST-1 c,0.005018148153254381,244056373.28212547,10839447.085369295,5.405434046544338,1217.0645043288107
137,GJ 1061 d,0.05889468713854714,175016848.43312085,8511311.26044251,4.1784446417163945,859.2074595418374
1445,SN2003aw b,1579379.192863429,165629570.95462173,14855030917.663275,838.3734544384682,93.4763692704791
136,GJ 1061 c,0.06249417778595974,159384823.3870117,7469092.4842775,4.026418477069419,859.2074595418374
243,GJ 724 b,0.31434309223937906,103275569.91249603,11501475.545631241,7.002933462732653,628.8166605698856
219,GJ 486 b,0.12512409102828195,94373288.68048939,19491976.25038309,10.054960569988445,486.8258017315242
257,GJ 896A b,3.040381579441848,76159487.06942917,31343.501070456437,0.3005303533055729,7302.387025972863
226,GJ 649 c,0.2934580016901568,75738802.2036662,2840364.099093217,4.107822676641181,1095.3580538959295
1249,Kepler-42 c,0.0023015611187562936,72941772.75816457,39447695.20842023,36.71646075521011,678.9151362939301
201,GJ 3779 b,0.07978461808999798,71379842.20159414,4180360.7491065594,5.22700842769557,892.5139698411278
168,GJ 273 c,0.14250576404912932,57691985.95783538,2863446.731996711,4.42984613507813,892.5139698411278
1414,Proxima Centauri b,0.4982679808932156,56376558.181868814,768480.0196398896,1.6590047075460062,1217.0645043288107
1391,NLTT 41135 b,0.33650866753711856,50509181.61581463,50357209.6051685,33.978690901588045,340.8123450986034
1457,Teegarden's c,0.01754911504939256,43191033.507843345,362289.6819611785,1.5518560264214092,1850.0738214150408
142,GJ 1265 b,0.08101006470412421,42182955.860553965,2895741.0048524393,4.455895855044125,649.1010689753656
138,GJ 1132 b,0.02816408818683837,40667408.68087418,5944451.007559056,7.353249105842416,503.0533284559084
1442,SDSS J1240-0159 b,970.9343170558186,36193554.74714496,2641252175.409615,814.462451993577,111.60725817916972
1585,TOI-4481 b,0.16423291042537616,35428160.341551095,10765731.645140907,10.478671263947282,344.834942893163
1622,TOI-732 b,0.09129098788505928,34729668.931568235,8823198.467520108,14.42931725693155,567.9634353534449
1641,TRAPPIST-1 d,0.002514018060389022,31735921.872868642,679561.8508006491,2.60610235435616,1217.0645043288107
221,GJ 581 b,0.21663293237030198,31222210.9771472,2186601.597469782,2.8411773820641235,405.6881681096035
70,CD Cet b,0.234660227169526,29130119.1901324,3716019.379264173,6.469013586906887,507.1102101370045
1330,LHS 1478 b,0.013172417624464729,27013793.791882787,2508358.449580853,7.345662504179738,791.0919278137269
1609,TOI-6008 b,0.010978342332455301,24325184.561440147,7201565.571861326,11.479257089485007,387.74214376523645
223,GJ 581 e,0.03190075242024382,22814666.610428486,3162163.496318557,5.622928171556748,405.6881681096035
200,GJ 367  b,0.9771807221607988,22440673.14863594,48185168.13985743,38.17342541472647,177.7802995746159
