;name;planet_mass;planet_radius;star_planet_distance;star_age;spectral_type;earth_distance;pow_received_kinetic;pow_received_magnetic;freq_max_planet;pow_received_spi;freq_max_star
1836;WISE J0720-0846;62.0;0.9980219930224870;0.26000000000000000;5200000000.0;M;6.8;0.06047046549940660;19175213.921569800;274.33397228370700;8216017.703594950;6402.6305617530200
1565;TOI-263 b;61.6;0.91;0.0096334;4750000000.0;M3.5V;279.0;0.01664989730569330;3011829.449371090;238.3241828036580;27950988.559269800;256.8037229678970
1406;Oph 11 b;21.0;0.8851703678535370;243.0;500000000.0;M9+M9.5;145.0;0.0000000785829793659124;1834720.1475566600;178.9614084191590;1745.3264038253400;1881276.1953414300
1322;Lalande 21185 c;13.6;1.390767408121360;2.5578;5200000000.0;M2+V;2.55;0.5370123289412030;321720.31542616300;86.48997295616410;279953.4481937860;993.9360118685290
1577;TOI-4184 b;6.6;0.2168;0.0336;6700000000.0;M5.5;69.2;0.0005439268816553350;35820.92737268780;58.25813011756170;77048.03121707480;270.8518588788160
768;HD 41004 B b;18.4;1.6;0.016673400000000000;1560000000.0;M;43.03;3.217125791192140;385662.50684339700;56.26857144927890;4195216.89533173;51.72719042434580
1331;LHS 1610 b;52.0;0.5523802934885780;0.035502780000000000;5200000000.0;M5V;9.9;0.2558705977887790;9513806.478953160;52.138329466300200;12486437.943402000;397.2581923897600
1323;Lalande 21185 d;3.89;1.1620206617063600;0.5142;5200000000.0;M2+V;2.55;2.6574912772550200;1437506.7665987100;51.344902148437200;742589.4965810960;993.9360118685290
1746;WASP-18 b;10.4296;1.165;0.020289864000000000;630000000.0;F6IV/V;100.0;21.321183642997700;776.6958321485460;46.60172253721030;32267.51102657570;11.21727784823050
71;CFHTWIR-Oph 98 b;7.8;1.86;200.0;500000000.0;M9.75;137.0;0.00014674752267786600;12488085.431794800;38.55787757908000;877.3489997042320;5488284.245363730
200;GJ 367  b;0.001718;0.0526;0.00621;5200000000.0;M1.0;9.41;0.9771807221607990;22440673.14863590;38.17342541472650;48185168.13985740;177.7802995746160
1249;Kepler-42 c;0.006;0.065;0.006;4500000000.0;M4V;38.7;0.0023015611187562900;72941772.75816460;36.71646075521010;39447695.20842020;678.9151362939300
1391;NLTT 41135 b;33.7;1.13;0.024;5200000000.0;M5.1;22.7;0.33650866753711900;50509181.61581460;33.978690901588000;50357209.6051685;340.8123450986030
