,name,pow_received_kinetic,pow_received_magnetic,freq_max_planet,pow_received_spi,freq_max_star
1831,WD 0137-349 b,0.26092412817831456,4459240864.843145,3194.0496749725626,285749447715.1902,498.4449470982993
1445,SN2003aw b,1597799.3946574363,167561298.39146838,828.7082810373939,14855030917.663275,93.4763692704791
1442,SDSS J1240-0159 b,986.8516438979556,36786905.53346385,775.6843233507168,2556735681.2119412,111.60725817916972
133,GD 552 b,126.67065815886384,4905621.065813968,1173.5762064063254,1794438381.7930462,32.08313096118831
1411,PPL 15 b,0.0005698830168843557,6089449548.7567835,452.7670308821152,1517833409.69142,18164.720675489494
1313,KL Dra b,20035.76015888649,13539243.270939158,1066.6064074766005,1211684838.9088855,119.18151619502167
1391,NLTT 41135 b,0.10600036948076304,15910413.103569597,1087.1094484698208,507503928.8539972,340.8123450986034
274,GW Lib b,2291.2592661992458,151467.83567979498,2030.8226954723261,391428235.93524605,7.858511218477546
119,EF Eri b,1733.9145693579142,51768.97168277599,2306.478973037865,204887505.34182695,5.827785566665282
34,AL Com b,4.041519868960152,384268.0046705738,1419.2379754532667,138175048.23989576,39.4693363184704
1565,TOI-263 b,0.009494528146010874,1717482.0332531515,1285.2352584809719,85955469.78189583,256.8037229678967
128,EZ Lyn b,598.7078478761811,51720.26357586334,1100.6292104960853,76483874.36659479,7.442723494014642
1446,SSS J1222-3115 b,15.788407100480057,19649.379305385442,1662.1960246204796,56043791.92414356,5.827785566665282
1331,LHS 1610 b,0.12613173286929288,4689842.8648846205,435.25641065256366,51384319.09017646,397.2581923897604
1444,SDSS J1507+5230 b,3974.0318633256675,10142.190308440271,2335.233490532478,40640449.454930946,5.827785566665282
66,BW Scl b,1307454.4943477921,27402.177177351336,1259.9017036988282,32963100.592787057,10.473544384461396
1441,SDSS J1057+2759 b,19.657334681450543,23256.792007892273,1275.33032504303,29857055.992609885,9.934031043859369
1440,SDSS J1035+0551 b,392.72952508178753,9505.261821023067,1481.9614670628762,28444263.590960868,4.95229265052112
120,EG Cnc b,17.276796027886366,145880.39779806053,370.168015694862,27647745.07814484,19.531523178131312
768,HD 41004 B b,1.2900360300406335,154646.89961016885,872.6990359390845,26090765.628987808,51.72719042434577
1836,WISE J0720-0846,0.03440106436545061,10908594.18543222,1490.0261418796931,25386581.89111649,6402.6305617530215
1316,L 363-38 b,0.21571385841887364,6615435.925812201,109.45769006931319,22943876.10556528,315.6006996853123
1393,NSV 1440 b,601217333.8845185,50466.7503725466,1508.601208579121,12328571.015205394,61.75427834351995
1599,TOI-5205 b,0.06567673692503878,4281238.3688491685,25.43035238143225,5268095.209536507,206.665589778362
1336,LHS 2397a B,0.017706290158307676,2167100.0634642895,4514.7253176335735,4881290.023296654,20043.59805640041
1598,TOI-519 b,0.08068798223480599,11863702.215736661,7.540800464551425,3909449.5798617415,228.83479976455055
1595,TOI-4860 b,0.0506165711139878,6188288.691230173,11.322678003839759,3110908.4793530414,225.23324202765968
1323,Lalande 21185 d,1.8858033772477045,1020080.5317669311,143.68904095817527,1474686.4140091513,993.9360118685287
257,GJ 896A b,0.48645017835941756,12185245.536018146,73.37658895871368,1224410.2508909216,7302.387025972863
1322,Lalande 21185 c,0.2715321415728782,162672.99934697163,669.0441784778875,1094994.264309085,993.9360118685287
