;Unnamed: 0;Planet_Name;Simbad_ID;Name;Mass_Msun;diameter_km;perrot_s;vsini_kms;V_mag;Age_Gyr;Teff_K;SpecType;SIMName;B_G
0;0;109 Psc b;* 109 Psc;109 Psc;1.13;2490606.0;498121.2;2.5;6.27899980545044;6.9;5600.0;G5IV;109 Psc;1.2409654776840136
1;1;109 Psc c;* 109 Psc;109 Psc;1.13;2490606.0;498121.2;2.5;6.27899980545044;6.9;5600.0;G5IV;109 Psc;1.2409654776840136
2;2;112 Psc b;* 112 Psc;112 Psc;1.1;2505911.4;250591.14;5.0;;7.04;5986.0;G0IV;112 Psc;1.0679155698723402
3;3;112 Psc c;* 112 Psc;112 Psc;1.1;2505911.4;250591.14;5.0;;7.04;5986.0;G0IV;112 Psc;1.0679155698723402
4;4;11 UMi b;*  11 UMi;11 UMi;1.8;33504912.0;11168303.999999998;1.5;5.014999866485596;1.56;4340.0;K4III;11 UMi;11.59597563171013
5;5;14 And Ab;;14 And A;2.2;15305400.0;;;;;4813.0;K0III;14 And A;14.641733054654503
6;6;14 Her b;*  14 Her;14 Her;0.9;985111.2;4925555.926603497;0.1000000014901161;;5.1;5311.0;K0 V;14 Her;4.199761634570854
7;7;14 Her c;*  14 Her;14 Her;0.9;985111.2;4925555.926603497;0.1000000014901161;;5.1;5311.0;K0 V;14 Her;4.199761634570854
8;8;16 Cyg Bb;*  16 Cyg B;16 Cyg B;1.01;1363572.0;309902.7205557667;2.200000047683716;6.199999809265137;8.0;5766.0;G2.5 V;16 Cyg B;2.2888716287548574
9;9;18 Del Ab;;18 Del A;2.3;11826900.0;;;;;4979.0;G6III;18 Del A;11.27719282329633
10;10;1RXS 1609 b;;1RXS 1609;0.73;1878390.0;;;;0.011;4060.0;K7V;1RXS 1609;79.3575288488959
11;11;23 Lib b;*  23 Lib;23 Lib;1.07;1739250.0;434812.5;2.0;6.460000038146973;9.7;5740.0;G5 V;23 Lib;1.2121624184056217
