,Name,Simbad_ID,B_G,ΔB_G,Tag,Bdescription,Year,Month,Article,Limit,SpecType,V_mag,B-V,B_mag,vsini_kms,Bestim_G,Mass_Ms,Radius_Rs,Age_Gy,Teff_K,period_s,esti_rotation_s-1
4,*  15 Sge,*  15 Sge,1.496786163,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,5.788000106811523,0.6019997596740723,6.389999866485596,8.270000457763672,1.322984557304366,,,,,,
8,*  23 Lib,*  23 Lib,0.625727,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,6.460000038146973,0.7080001831054688,7.168000221252441,2.305000066757202,0.5530697560893935,1.1,1.25,9.7,5585.0,2372692.8939569285,4.21462045318602e-07
9,*  47 UMa,*  47 UMa,0.546178337,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,,,5.659999847412109,3.1500000953674316,0.4827580072873642,1.06,,7.4,5882.0,,
13,*  83 Leo B,*  83 Leo B,6.078232,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,7.53000020980835,1.0239996910095215,8.553999900817871,0.7400000095367432,5.372448831031338,0.83,0.96,4.0,4740.0,5675994.508263058,1.7618057919968202e-07
15,* 109 Psc,* 109 Psc,0.48156,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,6.2789998054504395,0.7050004005432129,6.984000205993652,1.100000023841858,0.4256429269352422,0.99,1.84,6.9,5600.0,7318592.854679742,1.366382882415119e-07
19,* 14 Her,*  14 Her,0.789768,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,,,7.570000171661377,2.5,0.6980628854551716,,,5.1,,,
21,* 16 Cyg B,*  16 Cyg B,0.438765,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,6.199999809265137,0.6600003242492676,6.860000133514404,2.200000047683716,0.3878171335591444,0.98,1.16,8.0,5711.97,2306947.7476707883,4.3347319028341707e-07
24,* 24 LMi,*  24 LMi,3.732943,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,6.465000152587891,0.6359996795654297,7.10099983215332,5.0,3.299486636353568,1.25,1.54,1.9,5861.0,1347575.7135369906,7.42073332098939e-07
29,* 51 Peg,*  51 Peg,1.139442265,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,5.460000038146973,0.6999998092651367,6.159999847412109,4.989999771118164,1.0071341904400737,1.04,,4.0,,,
30,* 54 Psc,*  54 Psc,2.079065095,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,5.880000114440918,0.8299999237060547,6.710000038146973,1.399999976158142,1.837651284003442,0.9,0.87,5.13,5274.92,2718902.8078452684,3.677954199445991e-07
34,* 61 Vir,*  61 Vir,0.875942936,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,4.739999771118164,0.7000002861022949,5.440000057220459,3.9000000953674316,0.7742314874725673,0.91,1.03,8.96,5585.57,1155513.6122227805,8.654160274896028e-07
37,* 94 Cet,*  94 Cet,1.039105,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,F,5.070000171661377,0.560999870300293,5.63100004196167,7.699999809265137,0.9184477398310592,1.36,,,6188.0,,
60,* omi02 Eri,* omi02 Eri,1.138287537,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,4.429999828338623,0.820000171661377,5.25,0.36899998784065247,1.0061135454410417,0.78,0.87,6.9,5072.0,10315620.573417064,9.694036271331648e-08
69,* tau Cet,* tau Cet,0.731620674,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,3.5,0.7199997901916504,4.21999979019165,1.600000023841858,0.6466674248020905,0.78,,5.8,,,
73,* ups And,* ups And,0.757156,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,F,4.099999904632568,0.5399999618530273,4.639999866485596,10.729999542236328,0.669237677520102,1.2,,3.8,6200.0,,
80,BD+10  1799,BD+10  1799,2.222182911,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,F,8.920000076293945,0.5,9.420000076293945,5.699999809265137,1.9641507567562029,1.17,1.34,,6226.0,1028566.5963568514,9.722267897304527e-07
86,BD+22  2716,BD+22  2716,3.572601,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,F,9.744999885559082,0.44900035858154297,10.194000244140625,3.5,3.157762991967301,,1.33,0.75,6458.0,1662593.412805378,6.014699639117716e-07
92,BD+31 2290,BD+31  2290,3.731153,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,,,10.09000015258789,,3.2979044849306627,0.73,0.68,7.87,4640.0,,
97,BD+47  2846,BD+47  2846,6.192142,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,F,10.479999542236328,0.49000072479248047,10.970000267028809,5.099999904632568,5.4731319978375375,1.35,1.99,2.07,6532.23,1707203.7942988267,5.85753149881391e-07
98,BD+47 612,BD+47   612,3.876229,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,M,,,10.850000381469727,2.0,3.4261347641649373,0.6,,,3785.0,,
99,BD+61 195,BD+61   195,12.74290912,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,M,,,11.439000129699707,8.0,11.263246813494876,0.52,0.51,,3805.0,278921.92122721806,3.5852327260623246e-06
103,BD-05  3504,BD-05  3504,5.634904885,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,10.979999542236328,1.0700006484985352,12.050000190734863,2.4600000381469727,4.980599319405878,,0.79,5.4,5315.0,1405058.5962224333,7.117140898525851e-07
107,BD-08  2823,BD-08  2823,1.814719,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,9.87399959564209,1.065999984741211,10.9399995803833,,1.6040001385600875,0.5,0.71,4.5,4816.0,,
120,CD-35 10525,V* GQ Lup,212.5209427,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,11.65999984741211,1.1000003814697266,12.760000228881836,6.340000152587891,187.84374965915964,,1.94,0.001,4360.0,1338797.5855945542,7.469389030574808e-07
124,CoRoT-7,CoRoT-7,16.559366,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,11.729999542236328,1.0500001907348633,12.779999732971191,7.0,14.636549988437444,0.82,0.83,1.5,5275.0,518779.14760468557,1.92760253494616e-06
125,EM* LkCa   15,EM* LkCa   15,52.23610838,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,12.029999732971191,0.9800004959106445,13.010000228881836,16.6200008392334,46.17063307286679,,1.61,0.002,4194.0,423835.46447714325,2.3594061465187474e-06
137,HD   2638,HD   2638,3.659115,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,9.380000114440918,0.9499998092651367,10.329999923706055,0.6710000038146973,3.234231287051767,0.92,,3.0,,,
138,HD   3167,HD   3167,1.597486,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,,,,0.0,1.4119914793132162,0.84,0.88,5.0,5261.0,,0.0
139,HD   7449,HD   7449,2.077533816,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,F,7.480000019073486,0.5999999046325684,8.079999923706055,3.0829999446868896,1.836297811797456,1.05,,2.1,6024.0,,
141,HD   9446,HD   9446,2.198371131,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,,,9.029999732971191,,1.9431039178685496,1.0,1.0,,5793.0,,
144,HD  13908,HD  13908,0.954474,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,F,7.510000228881836,0.5299997329711914,8.039999961853027,,0.8436437973328109,1.29,1.67,2.9,6255.0,,
157,HD  34445,HD  34445,1.738987,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,7.329999923706055,0.6399998664855957,7.96999979019165,,1.5370618751190634,1.14,1.38,8.5,5879.0,,
160,HD  37605,HD  37605,1.586204,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,K,,,9.520000457763672,4.5,1.402019505931533,0.68,0.95,7.0,5340.0,923663.0071140989,1.082645935041189e-06
163,HD  49674,HD  49674,1.189453,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,8.100000381469727,0.7299995422363281,8.829999923706055,4.699999809265137,1.0513378527533532,0.99,1.04,2.38,5583.0,968139.5405865728,1.0329089538003206e-06
164,HD  72659,HD  72659,3.622919712,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,7.46999979019165,0.6100001335144043,8.079999923706055,-0.2800000011920929,3.202238870062017,1.09,1.45,6.5,5943.3,,-4.4135451332879706e-08
167,HD  79498,HD  79498,1.580879,,BLON,longitudinal magnetic field averaged over the stellar disk,,,Brown 2022,min,G,,,,,1.3973128264192598,1.08,1.05,2.7,5748.0,,
