,pl_name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
0,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,1.580404497,3e-08,3e-08,0.01411,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
1,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.01,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
2,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.010186289902446875,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
3,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.010376050197669117,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
4,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.010569345535579883,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
5,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.010766241770454934,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
6,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.010966805983368685,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
7,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.011171106505048241,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
8,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.01137921293915315,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
9,GJ 1214 b,Confirmed,0.02571,0.00135,0.00135,,,,0.24463,0.00473,0.00473,,3e-08,3e-08,0.011591196185988858,0.00032,0.00032,0.27,0.27,0.27,88.17,0.54,0.54,0.001077,2009,2022-09-09,,,,,,,,,,2454966.52513,2e-05,2e-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,He,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6.0,3.0,3.0,3026.0,150.0,150.0,,,
